PRENOM_NOM;PRENOM;NOM;TEAM;POS;IDRECHERCHE1;IDRECHERCHE2
Anthony Goncalves;Anthony;Goncalves;STR;Midfielder;GoncalvesAnthonySTR;
Igor Lewczuk;Igor;Lewczuk;BDX;Defender;LewczukIgorBDX;
Jeremy Grimm;Jeremy;Grimm;STR;Midfielder;GrimmJeremySTR;
Ilias Hassani  ;Ilias;Hassani;BDX;Defender;HassaniIliasBDX;
Imad Faraj;Imad;Faraj;LIL;Forward;FarajImadLIL;
Isaac Mbenza;Isaac;Mbenza;MTP;Forward;MbenzaIsaacMTP;
Ismael Tiemoko Diomande;Ismael Tiemoko;Diomande;CAE;Midfielder;DiomandeIsmael_TiemokoCAE;
Ismael Traore;Ismael;Traore;ANG;Defender;TraoreIsmaelANG;
Edvinas Gertmonas;Edvinas;Gertmonas;REN;Goalkeeper;GertmonasEdvinasREN;
Issa Cissokho;Issa;Cissokho;AMN;Defender;CissokhoIssaAMN;
Issa Diop;Issa;Diop;TOU;Defender;DiopIssaTOU;
Issiaga Sylla;Issiaga;Sylla;TOU;Defender;SyllaIssiagaTOU;
Ivan Balliu;Ivan;Balliu;MET;Defender;BalliuIvanMET;
Ivan Inzoudine;Ivan;Inzoudine;GUI;Defender;InzoudineIvanGUI;
Ivan Santini;Ivan;Santini;CAE;Forward;SantiniIvanCAE;
Jacques Francois Moubandje;Jacques Francois;Moubandje;TOU;Defender;MoubandjeJacques_FrancoisTOU;
Jamel Saihi  ;Jamel;Saihi;ANG;Midfielder;SaihiJamelANG;
Joris Gnagnon;Joris;Gnagnon;REN;Defender;GnagnonJorisREN;
Gabriel;;Gabriel;TRO;Defender;GabrielTRO;
Jaroslav Plasil;Jaroslav;Plasil;BDX;Midfielder;PlasilJaroslavBDX;
Javier Pastore;Javier;Pastore;PSG;Midfielder;PastoreJavierPSG;
Jean Calve;Jean;Calve;AMN;Defender;CalveJeanAMN;
Vincent Koziello;Vincent;Koziello;NIC;Midfielder;KozielloVincentNIC;
Jean-Christophe Bouet  ;Jean-Christophe;Bouet;AMN;Goalkeeper;BouetJean-ChristopheAMN;
Jean-Daniel Akpa-Akpro;Jean-Daniel;Akpa-Akpro;TOU;Midfielder;Akpa-AkproJean-DanielTOU;
Bingourou Kamara;Bingourou;Kamara;STR;Goalkeeper;KamaraBingourouSTR;
Jean-Luc Dompe;Jean-Luc;Dompe;AMN;Forward;DompeJean-LucAMN;
Mickael Le Bihan;Mickael;Le Bihan;NIC;Forward;Le_BihanMickaelNIC;
Jeff Louis;Jeff;Louis;CAE;Forward;LouisJeffCAE;
Kamil Glik;Kamil;Glik;MON;Defender;GlikKamilMON;
Jeremie Bela  ;Jeremie;Bela;DIJ;Midfielder;BelaJeremieDIJ;
Jeremie Porsan-Clemente;Jeremie;Porsan-Clemente;MTP;Forward;Porsan-ClementeJeremieMTP;
Bakary Kone;Bakary;Kone;STR;Defender;KoneBakarySTR;
Kenny Lala;Kenny;Lala;STR;Defender;LalaKennySTR;
Jeremy Clement;Jeremy;Clement;ETI;Midfielder;ClementJeremyETI;
Jimmy Giraudon;Jimmy;Giraudon;TRO;Defender;GiraudonJimmyTRO;
Dimitri Lienard;Dimitri;Lienard;STR;Midfielder;LienardDimitriSTR;
Jeremy Livolant;Jeremy;Livolant;GUI;Midfielder;LivolantJeremyGUI;
Jeremy Morel;Jeremy;Morel;LYO;Defender;MorelJeremyLYO;
Jeremy Sorbon;Jeremy;Sorbon;GUI;Defender;SorbonJeremyGUI;
Jeremy Toulalan;Jeremy;Toulalan;BDX;Midfielder;ToulalanJeremyBDX;
Jerome Prior;Jerome;Prior;BDX;Goalkeeper;PriorJeromeBDX;
Jerome Roussillon;Jerome;Roussillon;MTP;Defender;RoussillonJeromeMTP;
Jerrold Nyemeck;Jerrold;Nyemeck;ETI;Defender;NyemeckJerroldETI;
Jessy Moulin;Jessy;Moulin;ETI;Goalkeeper;MoulinJessyETI;
Jimmy Briand;Jimmy;Briand;GUI;Forward;BriandJimmyGUI;
Jimmy Durmaz;Jimmy;Durmaz;TOU;Midfielder;DurmazJimmyTOU;
Randi Goteni  ;Randi;Goteni;TRO;Midfielder;GoteniRandiTRO;
Maxime Le Marchand;Maxime;Le Marchand;NIC;Defender;Le_MarchandMaximeNIC;
Jemerson;;Jemerson;MON;Defender;JemersonMON;
Samuel Grandsir;Samuel;Grandsir;TRO;Forward;GrandsirSamuelTRO;
Johnny Placide;Johnny;Placide;GUI;Goalkeeper;PlacideJohnnyGUI;
Kader Mangane;Kader;Mangane;STR;Defender;ManganeKaderSTR;
Jonathan Bamba;Jonathan;Bamba;ETI;Forward;BambaJonathanETI;
Jonathan Correia;Jonathan;Correia;GUI;Defender;CorreiaJonathanGUI;
Jonathan Delaplace;Jonathan;Delaplace;CAE;Midfielder;DelaplaceJonathanCAE;
Jonathan Ligali  ;Jonathan;Ligali;MTP;Goalkeeper;LigaliJonathanMTP;
Jonathan Martins Pereira;Jonathan;Martins Pereira;GUI;Defender;Martins_PereiraJonathanGUI;
Jonathan Rivierez;Jonathan;Rivierez;MET;Defender;RivierezJonathanMET;
Christophe Herelle;Christophe;Herelle;TRO;Defender;HerelleChristopheTRO;
Jordan Amavi;Jordan;Amavi;MAR;Defender;AmaviJordanMAR;
Jordan Ferri;Jordan;Ferri;LYO;Midfielder;FerriJordanLYO;
Jordan Ikoko;Jordan;Ikoko;GUI;Defender;IkokoJordanGUI;
Jessy Deminguet;Jessy;Deminguet;CAE;Midfielder;DeminguetJessyCAE;
Jordan Leborgne;Jordan;Leborgne;CAE;Midfielder;LeborgneJordanCAE;
Jordan Marie;Jordan;Marie;DIJ;Midfielder;MarieJordanDIJ;
Jordan Nkololo;Jordan;Nkololo;CAE;Midfielder;NkololoJordanCAE;
Yoann Gourcuff;Yoann;Gourcuff;REN;Midfielder;GourcuffYoannREN;
Jorge;;Jorge;MON;Defender;JorgeMON;
Stevan Jovetic;Stevan;Jovetic;MON;Forward;JoveticStevanMON;
Keita;;Keita;MON;Forward;KeitaMON;
Rolando;Jorge;Rolando;MAR;Defender;RolandoJorgeMAR;RolandoMAR
Jorginho;;Jorginho;ETI;Midfielder;JorginhoETI;
Adrien Hunou;Adrien;Hunou;REN;Midfielder;HunouAdrienREN;
Joris Kayembe;Joris;Kayembe;NTE;Midfielder;KayembeJorisNTE;
Jules Iloki;Jules;Iloki;NTE;Midfielder;IlokiJulesNTE;
Julian Draxler;Julian;Draxler;PSG;Forward;DraxlerJulianPSG;
Julien Cardy;Julien;Cardy;GUI;Midfielder;CardyJulienGUI;
Julien Feret;Julien;Feret;CAE;Midfielder;FeretJulienCAE;
Julien Ielsch;Julien;Ielsch;AMN;Defender;IelschJulienAMN;
Julio Tavares;Julio;Tavares;DIJ;Forward;TavaresJulioDIJ;
Junior Alonso;Junior;Alonso;LIL;Defender;AlonsoJuniorLIL;
Junior Sambia  ;Junior;Sambia;MTP;Midfielder;SambiaJuniorMTP;
Jonas Martin;Jonas;Martin;STR;Midfielder;MartinJonasSTR;
